obs,spp_names,record_num,data_source,source_page,phylum,class,order,family,genus,species,habitat,source,life hist,geo_location,lat,long,acclim_type,acclim_period,trait_category,trait,details,temp_1,temp_2,r1.1,r1.1_se,r1.1_N,r1.1_CV,r1.1_logCV,r1.2,r1.2_se,r1.2_N,r1.2_CV,r1.2_logCV,r2.1,r2.1_se,r2.1_N,r2.1_CV,r2.1_logCV,r2.2,r2.2_se,r2.2_N,r2.2_CV,r2.2_logCV,Type,treat,ES,V_ES,units,notes
483,Rhinella_marina,p129,fig,6,Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,t,w,a,"Queensland, Australia",-17.095495,139.476083,1,56,rest_MR,Adjusted resting VO2,NA,15,30,0.19,0.06,20,1.37,0.31,1.99,0.06,20,0.13,-2.03,0.11,0.07,20,3.01,1.1,1.5,0.09,20,0.28,-1.28,SQ10,aw,0.167542952,0.046783626,ml/hr,minimum 56 days acclimation but max 98
484,Rhinella_marina,p129,fig,6,Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,t,w,a,"NSW, Australia",-28.806642,153.558981,1,56,rest_MR,Adjusted resting VO2,NA,15,30,0.34,0.07,20,0.9,-0.1,1.93,0.06,20,0.14,-1.96,0.17,0.07,20,1.94,0.66,1.52,0.09,20,0.27,-1.31,SQ10,aw,0.167542952,0.046783626,ml/hr,two populations of two different lat (only one pop's location noted)
486,Fundulus_heteroclitus,p13,fig,190,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Wiscassett, Maine",44.0029,69.6656,1,28,mito_oxidation,complex I,mitochondrial function - heart,12,28,1.09,0.32,33,1.69,0.52,1.98,0.46,33,1.33,0.29,0.9,0.19,26,1.08,0.07,2.01,0.44,26,1.12,0.11,SQ10,aw,0.524844159,0.03125,pmol O2/s.ml.ng DNA,NA
487,Fundulus_heteroclitus,p13,fig,190,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Sapelo Is, GA",31.4764,81.2409,1,28,mito_oxidation,complex I,mitochondrial function - heart,12,28,1.37,0.26,30,1.04,0.04,2.6,0.57,30,1.2,0.18,0.9,0.1,31,0.62,-0.48,2.06,0.4,31,1.08,0.08,SQ10,aw,0.866433976,0.026041667,pmol O2/s.ml.ng DNA,NA
488,Fundulus_grandis,p13,fig,190,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,grandis,m,w,a,"Crawfordville, FL",30.1945,84.3711,1,28,mito_oxidation,complex I,mitochondrial function - heart,12,28,1.04,0.23,24,1.08,0.08,3.55,0.53,24,0.73,-0.31,1.15,0.19,25,0.83,-0.19,2.19,0.5,25,1.14,0.13,SQ10,aw,0.604740016,0.032552083,pmol O2/s.ml.ng DNA,NA
489,Fundulus_heteroclitus,p13,fig,190,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Wiscassett, Maine",44.0029,69.6656,1,28,mito_oxidation,complex II,mitochondrial function - heart,12,28,0.88,0.2,33,1.31,0.27,0.97,0.17,33,1,0,0.39,0.05,26,0.66,-0.41,1.19,0.23,26,0.99,-0.01,SQ10,aw,0.95378519,0.03125,pmol O2/s.ml.ng DNA,NA
490,Fundulus_heteroclitus,p13,fig,190,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Sapelo Is, GA",31.4764,81.2409,1,28,mito_oxidation,complex II,mitochondrial function - heart,12,28,0.75,0.14,30,0.99,-0.01,1.47,0.34,30,1.28,0.25,0.6,0.08,31,0.73,-0.32,0.86,0.09,31,0.62,-0.49,SQ10,aw,0.073614397,0.026041667,pmol O2/s.ml.ng DNA,NA
491,Fundulus_grandis,p13,fig,190,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,grandis,m,w,a,"Crawfordville, FL",30.1945,84.3711,1,28,mito_oxidation,complex II,mitochondrial function - heart,12,28,1.06,0.36,24,1.65,0.5,1.54,0.15,24,0.47,-0.75,0.58,0.05,25,0.46,-0.77,1.06,0.19,25,0.89,-0.12,SQ10,aw,0.834375667,0.032552083,pmol O2/s.ml.ng DNA,NA
492,Fundulus_heteroclitus,p13,fig,190,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Wiscassett, Maine",44.0029,69.6656,1,28,mito_oxidation,complex IV,mitochondrial function - heart,12,28,1.91,0.4,33,1.2,0.18,3.66,0.95,33,1.5,0.4,1.85,0.39,26,1.06,0.06,3.68,0.85,26,1.18,0.17,SQ10,aw,0.486931007,0.03125,pmol O2/s.ml.ng DNA,NA
493,Fundulus_heteroclitus,p13,fig,190,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Sapelo Is, GA",31.4764,81.2409,1,28,mito_oxidation,complex IV,mitochondrial function - heart,12,28,1.94,0.26,30,0.73,-0.31,3.98,0.67,30,0.92,-0.08,1.7,0.24,31,0.79,-0.24,5.41,1.1,31,1.13,0.12,SQ10,aw,0.951516585,0.026041667,pmol O2/s.ml.ng DNA,NA
494,Fundulus_grandis,p13,fig,190,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,grandis,m,w,a,"Crawfordville, FL",30.1945,84.3711,1,28,mito_oxidation,complex IV,mitochondrial function - heart,12,28,1.78,0.33,24,0.91,-0.1,5.13,0.84,24,0.8,-0.22,2.08,0.19,25,0.46,-0.78,3.72,0.81,25,1.09,0.08,SQ10,aw,0.90625636,0.032552083,pmol O2/s.ml.ng DNA,NA
495,Fundulus_heteroclitus,p13,fig,190,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Wiscassett, Maine",44.0029,69.6656,1,28,mito_oxidation,State 3,mitochondrial function - heart,12,28,2,0.47,33,1.36,0.31,3.18,0.57,33,1.03,0.03,1.29,0.26,26,1.04,0.04,3.05,0.63,26,1.06,0.06,SQ10,aw,0.553148868,0.03125,pmol O2/s.ml.ng DNA,NA
496,Fundulus_heteroclitus,p13,fig,190,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Sapelo Is, GA",31.4764,81.2409,1,28,mito_oxidation,State 3,mitochondrial function - heart,12,28,2.12,0.4,30,1.03,0.03,3.94,0.78,30,1.09,0.09,1.73,0.16,31,0.52,-0.65,3,0.72,31,1.34,0.29,SQ10,aw,0.940048373,0.026041667,pmol O2/s.ml.ng DNA,NA
497,Fundulus_grandis,p13,fig,190,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,grandis,m,w,a,"Crawfordville, FL",30.1945,84.3711,1,28,mito_oxidation,State 3,mitochondrial function - heart,12,28,2.63,0.77,24,1.44,0.36,5.73,0.73,24,0.63,-0.47,1.61,0.2,25,0.62,-0.48,3.5,0.65,25,0.92,-0.08,SQ10,aw,0.736659373,0.032552083,pmol O2/s.ml.ng DNA,NA
502,Strongylocentrotus_droebachiensis,p131_o,NA,NA,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,droebachiensis,m,w,a,"Conception Bay, Newfoundland",47.516667,-52.98333,1,35,rest_MR,MR,rest,0,15,5.36,0.28,10,0.17,-1.8,18.8,1.2,10,0.2,-1.6,4.09,0.36,10,0.28,-1.28,18.8,1,9,0.16,-1.84,SQ10,aw,0.64598066,0.104938272,ul/g/h,NA
505,Rana_perezi,p132_o,NA,NA,Chordata,Amphibia,Anura,Ranidae,Rana,perezi,f,w,a,"Galicia, Spain",42.5,-8.1,1,113,rest_MR,MR,rest,10,29,15,1,4,0.13,-2.01,80,6,4,0.15,-1.9,7,1,4,0.29,-1.25,95,15,4,0.32,-1.15,SQ10,aw,1.42528958,0.184672207,ul/g/h,NA
506,Chinemys_reevesii,p133,fig1,236,Chordata,Reptilia,Testudines,Geoemydidae,Chinemys,reevesii,t,w,j,"Haining, Zhejiang, Eastern China",30.31666667,120.4166667,1,28,sprint,Running Speed (cm/s),NA,17,33,1.22,0.22,36,1.09,0.09,1.75,0.2,36,0.67,-0.4,3.03,0.59,36,1.16,0.15,5.72,0.84,36,0.88,-0.13,SQ10,aw,0.220799597,0.022321429,cm/s,NA
507,Chinemys_reevesii,p133,fig1,236,Chordata,Reptilia,Testudines,Geoemydidae,Chinemys,reevesii,t,w,j,"Haining, Zhejiang, Eastern China",30.31666667,120.4166667,1,28,sprint,Swimming Speed (cm/s),NA,17,33,4.09,0.46,36,0.67,-0.4,3.86,0.42,36,0.66,-0.42,6.82,0.51,36,0.45,-0.81,9.07,0.56,36,0.37,-0.99,SQ10,aw,0.058453786,0.022321429,cm/s,NA
511,Pyganodon_cataracta,p134_o,NA,NA,Mollusca,Bivalvia,Unionoida,Unionidae,Pyganodon,cataracta,f,w,a,"Winston-Salem, Forsyth County, North Carolina",36.102764,-80.260492,1,7,cardiac,HR,rest,15,25,7,0.5,10,0.23,-1.49,18,2,10,0.35,-1.05,8,0.5,10,0.2,-1.62,19,2,10,0.33,-1.1,SQ10,aw,1.386294361,0.222222222,NA,NA
512,Pyganodon_cataracta,p134_o,NA,NA,Mollusca,Bivalvia,Unionoida,Unionidae,Pyganodon,cataracta,f,w,j,"Winston-Salem, Forsyth County, North Carolina",36.102764,-80.260492,1,7,cardiac,HR,rest,15,25,27,0.5,20,0.08,-2.49,53,0.5,20,0.04,-3.17,19,0.5,20,0.12,-2.14,53,0.5,20,0.04,-3.17,SQ10,aw,0,0.105263158,NA,NA
513,Utterbackia_imbecillis,p134_o,NA,NA,Mollusca,Bivalvia,Unionoida,Unionidae,Utterbackia,imbecillis,f,w,a,"Mecklenberg County, North Carolina",35.491111,-80.832778,1,7,cardiac,HR,rest,15,25,7.5,0.5,10,0.21,-1.56,14,0.5,10,0.11,-2.18,7.5,0.5,10,0.21,-1.56,14,0.5,10,0.11,-2.18,SQ10,aw,0,0.222222222,NA,NA
514,Utterbackia_imbecillis,p134_o,NA,NA,Mollusca,Bivalvia,Unionoida,Unionidae,Utterbackia,imbecillis,f,w,j,"Mecklenberg County, North Carolina",35.491111,-80.832778,1,7,cardiac,HR,rest,15,25,15,0.5,20,0.15,-1.9,27,0.5,20,0.08,-2.49,18,0.5,20,0.12,-2.09,43,3,20,0.31,-1.16,SQ10,aw,1.791759469,0.105263158,NA,NA
515,Silurus_meridionalis,p135,fig,68,Chordata,Actinopterygii,Siluriformes,Siluridae,Silurus,meridionalis,f,c,j,"Chongqing, China",29.4316,106.426409,1,14,metabolic_enzyme,COX activity,heart,12.5,27.5,433.1,49.43,10,0.36,-1.02,801.26,52.46,10,0.21,-1.57,352.61,67.17,10,0.6,-0.51,676.35,39.72,10,0.19,-1.68,SQ10,aw,-0.35024792,0.098765432,nmol O2 min-1 mg -1 mitochondrial protein,they are all the same individuals
516,Silurus_meridionalis,p135,fig,68,Chordata,Actinopterygii,Siluriformes,Siluridae,Silurus,meridionalis,f,c,j,"Chongqing, China",29.4316,106.426409,1,14,metabolic_enzyme,COX activity,kidney,12.5,27.5,175.77,22.39,10,0.4,-0.91,398.16,86.05,10,0.68,-0.38,126.59,22.56,10,0.56,-0.57,326.78,24.01,10,0.23,-1.46,SQ10,aw,0.041527989,0.098765432,nmol O2 min-1 mg -1 mitochondrial protein,they are all the same individuals
517,Silurus_meridionalis,p135,fig,68,Chordata,Actinopterygii,Siluriformes,Siluridae,Silurus,meridionalis,f,c,j,"Chongqing, China",29.4316,106.426409,1,14,metabolic_enzyme,COX activity,liver,12.5,27.5,155.23,25.27,10,0.51,-0.66,365.69,26.39,10,0.23,-1.48,127.4,25.65,10,0.64,-0.45,297.73,43.28,10,0.46,-0.78,SQ10,aw,0.348764709,0.098765432,nmol O2 min-1 mg -1 mitochondrial protein,they are all the same individuals
518,Silurus_meridionalis,p135,fig,68,Chordata,Actinopterygii,Siluriformes,Siluridae,Silurus,meridionalis,f,c,j,"Chongqing, China",29.4316,106.426409,1,14,metabolic_enzyme,COX activity,brain,12.5,27.5,91.08,16.89,10,0.59,-0.53,148.72,9.16,10,0.19,-1.64,66.1,14.81,10,0.71,-0.34,148.64,14.68,10,0.31,-1.16,SQ10,aw,-0.005877737,0.098765432,nmol O2 min-1 mg -1 mitochondrial protein,Something I noticed - brain and muscle does not seem to show expected patterns
519,Silurus_meridionalis,p135,fig,68,Chordata,Actinopterygii,Siluriformes,Siluridae,Silurus,meridionalis,f,c,j,"Chongqing, China",29.4316,106.426409,1,14,metabolic_enzyme,COX activity,white muscle,12.5,27.5,31.2,5.24,10,0.53,-0.63,66.92,6.44,10,0.3,-1.19,30.89,5.51,10,0.56,-0.57,67.38,6.68,10,0.31,-1.16,SQ10,aw,0.12836891,0.098765432,nmol O2 min-1 mg -1 mitochondrial protein,Something I noticed - brain and muscle does not seem to show expected patterns
520,Silurus_meridionalis,p135,fig,68,Chordata,Actinopterygii,Siluriformes,Siluridae,Silurus,meridionalis,f,c,j,"Chongqing, China",29.4316,106.426409,1,14,mito_oxidation,State III rate,heart,12.5,27.5,39.87,2.97,10,0.24,-1.45,81.17,4.42,10,0.17,-1.76,28.43,3.76,10,0.42,-0.87,81.17,4.42,10,0.17,-1.76,SQ10,aw,0.107813826,0.098765432,nmol O2 min-1 mg -1 mitochondrial protein,they are all the same individuals
521,Silurus_meridionalis,p135,fig,68,Chordata,Actinopterygii,Siluriformes,Siluridae,Silurus,meridionalis,f,c,j,"Chongqing, China",29.4316,106.426409,1,14,mito_oxidation,State III rate,kidney,12.5,27.5,17.82,1.63,10,0.29,-1.24,37.03,1.51,10,0.13,-2.05,10.65,1.42,10,0.42,-0.87,30.9,2.96,10,0.3,-1.2,SQ10,aw,0.489688265,0.098765432,nmol O2 min-1 mg -1 mitochondrial protein,they are all the same individuals
522,Silurus_meridionalis,p135,fig,68,Chordata,Actinopterygii,Siluriformes,Siluridae,Silurus,meridionalis,f,c,j,"Chongqing, China",29.4316,106.426409,1,14,mito_oxidation,State III rate,liver,12.5,27.5,16.29,2.09,10,0.4,-0.9,38.46,1.98,10,0.16,-1.81,10.15,1.7,10,0.53,-0.64,32.6,2.63,10,0.25,-1.37,SQ10,aw,0.29090373,0.098765432,nmol O2 min-1 mg -1 mitochondrial protein,they are all the same individuals
523,Silurus_meridionalis,p135,fig,68,Chordata,Actinopterygii,Siluriformes,Siluridae,Silurus,meridionalis,f,c,j,"Chongqing, China",29.4316,106.426409,1,14,mito_oxidation,State III rate,brain,12.5,27.5,7.82,2.04,10,0.83,-0.19,19.32,1.89,10,0.31,-1.18,5.85,1.74,10,0.94,-0.06,19.49,1.43,10,0.23,-1.46,SQ10,aw,-0.130807113,0.098765432,nmol O2 min-1 mg -1 mitochondrial protein,they are all the same individuals
524,Silurus_meridionalis,p135,fig,68,Chordata,Actinopterygii,Siluriformes,Siluridae,Silurus,meridionalis,f,c,j,"Chongqing, China",29.4316,106.426409,1,14,mito_oxidation,State III rate,white muscle,12.5,27.5,2.61,0.54,10,0.65,-0.43,6.34,0.77,10,0.39,-0.95,2.59,0.51,10,0.62,-0.47,7.38,0.87,10,0.37,-0.98,SQ10,aw,0.356054991,0.098765432,nmol O2 min-1 mg -1 mitochondrial protein,they are all the same individuals
525,Procambarus_clarkii,p135_o,NA,NA,Arthropoda,Malacaostraca,Decapoda,Parastacidae,Procambarus,clarkii,f,c,a,"Baton Rouge LA, USA",30.46,91.14,1,21,rest_MR,MR,rest,10,30,15.01,4.06,8,0.77,-0.27,60.96,15.63,8,0.73,-0.32,10.94,2.19,8,0.57,-0.57,51.58,9.38,8,0.51,-0.67,SQ10,aw,0.72733911,0.071428571,NA,NA
526,Procambarus_zonangulus,p135_o,NA,NA,Arthropoda,Malacaostraca,Decapoda,Parastacidae,Procambarus,zonangulus,f,c,a,"Baton Rouge LA, USA",30.46,91.14,1,21,rest_MR,MR,rest,10,30,13.13,2.5,8,0.54,-0.62,75.97,14.07,8,0.52,-0.65,17.19,3.75,8,0.62,-0.48,85.97,15.63,8,0.51,-0.67,SQ10,aw,0.713718152,0.071428571,NA,NA
530,Mabuya_brevicollis,p137,fig2,451,Chordata,Reptilia,Squamata,Scincidae,Mabuya,brevicollis,t,w,a,"South Western, Saudi Arabia",19.161673,45.879207,1,21,rest_MR,log Adjusted MR,NA,21,30,0.09,0.04,22,2.05,0.72,0.13,0.03,18,0.82,-0.2,0.45,0.03,22,0.33,-1.12,0.55,0.02,18,0.17,-1.79,SQ10,aw,-0.562000507,0.131410589,log ml/hr,NA
533,Anolis_carolinensis,p138_o,NA,NA,Chordata,Reptilia,Squamata,Polychrotidae,Anolis,carolinensis,t,w,a,Alabama,32.7,-86.7,1,14,rest_MR,MR,rest,10,30,0.05,0,10,0.18,-1.7,0.49,0.04,10,0.23,-1.47,0.04,0.01,10,0.51,-0.67,0.43,0.02,10,0.17,-1.79,SQ10,aw,0.34657359,0.055555556,ml/g.8/h,NA
536,Fundulus_heteroclitus,p14,fig,54,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Jimtown, Nova Scotia, Canada",44.7072,61.9016,1,24,other,NaCl excretion rate in opercular epithelia,NA,5,20,18.34,4.73,12,0.89,-0.11,57.99,6.51,12,0.39,-0.94,49.11,7.69,12,0.54,-0.61,165.09,20.71,12,0.43,-0.83,SQ10,aw,0.660463928,0.080808081,microA/cm2,NA
538,Limax_maximus,p141_o,NA,NA,Mollusca,Gastropoda,Stylommatophora,Limacidae,Limax,maximus,t,NA,a,NA,NA,NA,1,32,rest_MR,MR,rest,5,15,23,10,25,2.17,0.78,52,9,25,0.87,-0.14,18,9,25,2.5,0.92,54,9,25,0.83,-0.18,SQ10,aw,0,0.083333333,ul/g/h,introduced species
539,Limax_maximus,p141_o,NA,NA,Mollusca,Gastropoda,Stylommatophora,Limacidae,Limax,maximus,t,NA,a,NA,NA,NA,1,32,rest_MR,MR,rest,5,25,23,10,25,2.17,0.78,99,9.5,25,0.48,-0.73,22,9,25,2.05,0.72,83,8.5,25,0.51,-0.67,SQ10,aw,-0.028579207,0.020833333,ul/g/h,NA
540,Limax_maximus,p141_o,NA,NA,Mollusca,Gastropoda,Stylommatophora,Limacidae,Limax,maximus,t,NA,a,NA,NA,NA,1,32,rest_MR,MR,rest,15,25,54,9,25,0.83,-0.18,83,8.5,25,0.51,-0.67,53,9,25,0.85,-0.16,83,8.5,25,0.51,-0.67,SQ10,aw,-0.057158414,0.083333333,ul/g/h,NA
541,Philomycus_carolinianus,p141_o,NA,NA,Mollusca,Gastropoda,Stylommatophora,Philomycidae,Philomycus,carolinianus,t,NA,a,NA,NA,NA,1,32,rest_MR,MR,rest,5,15,9,6,25,3.33,1.2,38,6,25,0.79,-0.24,14,6,25,2.14,0.76,41,6,25,0.73,-0.31,SQ10,aw,0,0.083333333,ul/g/h,NA
542,Philomycus_carolinianus,p141_o,NA,NA,Mollusca,Gastropoda,Stylommatophora,Philomycidae,Philomycus,carolinianus,t,NA,a,NA,NA,NA,1,32,rest_MR,MR,rest,5,25,9,6,25,3.33,1.2,85,6.5,25,0.38,-0.96,15,6,25,2,0.69,93,6,25,0.32,-1.13,SQ10,aw,0,0.020833333,ul/g/h,NA
543,Philomycus_carolinianus,p141_o,NA,NA,Mollusca,Gastropoda,Stylommatophora,Philomycidae,Philomycus,carolinianus,t,NA,a,NA,NA,NA,1,32,rest_MR,MR,rest,15,25,41,6,25,0.73,-0.31,104,7,25,0.34,-1.09,43,6,25,0.7,-0.36,93,6,25,0.32,-1.13,SQ10,aw,0,0.083333333,ul/g/h,NA
546,Pagothenia_borchgrevincki,p142_o,NA,NA,Chordata,Actinopterygii,Perciformes,Nototheniidae,Pagothenia,borchgrevincki,m,w,a,"Scott Base, Antarctica",77.85,166.75,1,28,max_MR,MR,max,-1,4,98.4,5,8,0.14,-1.94,87,10,8,0.33,-1.12,69,8,8,0.33,-1.11,98.4,9.1,8,0.26,-1.34,SQ10,aw,0.257665744,1.142857143,NA,NA
547,Pagothenia_borchgrevincki,p142_o,NA,NA,Chordata,Actinopterygii,Perciformes,Nototheniidae,Pagothenia,borchgrevincki,m,w,a,"Scott Base, Antarctica",77.85,166.75,1,26,endurance,swim,sustained,-1,4,1.88,0.06,8,0.09,-2.4,1.56,0.05,16,0.13,-2.05,1.71,0.11,16,0.26,-1.36,2.04,0.11,8,0.15,-1.88,SQ10,aw,-0.693147181,0.838095238,NA,NA
548,Limnodynastes_peronii,p143_o,NA,NA,Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,f,w,j,"Sydney, Australia",33.85,151.2,1,42,metabolic_enzyme,CS,"muscle, mixed",10,20,8.2,1,8,0.34,-1.06,8.8,0.9,8,0.29,-1.24,6.2,2,8,0.91,-0.09,6.5,3,8,1.31,0.27,SQ10,aw,0.405465108,0.285714286,NA,NA
549,Limnodynastes_peronii,p143_o,NA,NA,Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,f,w,j,"Sydney, Australia",33.85,151.2,1,42,metabolic_enzyme,LDH,"muscle, mixed",10,20,27,1,8,0.1,-2.26,39.5,1.5,8,0.11,-2.23,5,0.5,8,0.28,-1.26,8,1,8,0.35,-1.04,SQ10,aw,0.693147181,0.285714286,NA,NA
550,Limnodynastes_peronii,p144_o,NA,NA,Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,f,w,a,"Sydney, Australia",33.85,151.2,1,60,metabolic_enzyme,COX,"muscle, gastrocnemius",15,25,4,0.5,5,0.28,-1.27,4.6,0.5,5,0.24,-1.41,3.5,0.4,5,0.26,-1.36,4.3,0.5,5,0.26,-1.35,SQ10,aw,0.223143551,0.5,NA,NA
551,Limnodynastes_peronii,p144_o,NA,NA,Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,f,w,a,"Sydney, Australia",33.85,151.2,1,60,metabolic_enzyme,COX,liver,15,25,5.6,0.3,5,0.12,-2.12,5.8,0.6,5,0.23,-1.46,3,0.3,5,0.22,-1.5,4.8,0.6,5,0.28,-1.27,SQ10,aw,0.693147181,0.5,NA,NA
552,Limnodynastes_peronii,p144_o,NA,NA,Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,f,w,a,"Sydney, Australia",33.85,151.2,1,60,metabolic_enzyme,COX,"muscle, external oblique, males",15,25,11.6,0.8,5,0.15,-1.87,13.2,2.7,5,0.46,-0.78,6.4,0.7,5,0.24,-1.41,12.4,2.4,5,0.43,-0.84,SQ10,aw,1.232143681,0.5,NA,NA
553,Limnodynastes_peronii,p144_o,NA,NA,Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,f,w,a,"Sydney, Australia",33.85,151.2,1,60,metabolic_enzyme,COX,"muscle, external oblique, females",15,25,5,1.2,5,0.54,-0.62,6.2,1.3,5,0.47,-0.76,3.5,0.6,5,0.38,-0.96,8.2,3,5,0.82,-0.2,SQ10,aw,1.609437912,0.5,NA,NA
554,Limnodynastes_peronii,p144_o,NA,NA,Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,f,w,a,"Sydney, Australia",33.85,151.2,1,60,metabolic_enzyme,CS,"muscle, gastrocnemius",15,25,7,0.4,5,0.13,-2.06,8,0.7,5,0.2,-1.63,6,0.5,5,0.19,-1.68,9,0.8,5,0.2,-1.62,SQ10,aw,0.470003629,0.5,NA,NA
555,Limnodynastes_peronii,p144_o,NA,NA,Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,f,w,a,"Sydney, Australia",33.85,151.2,1,60,metabolic_enzyme,CS,liver,15,25,4,0.3,5,0.17,-1.79,6,0.5,5,0.19,-1.68,6,0.6,5,0.22,-1.5,9,1.2,5,0.3,-1.21,SQ10,aw,0.693147181,0.5,NA,NA
556,Limnodynastes_peronii,p144_o,NA,NA,Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,f,w,a,"Sydney, Australia",33.85,151.2,1,60,metabolic_enzyme,CS,"muscle, external oblique, males",15,25,36.9,6.3,5,0.38,-0.96,53.3,8.9,5,0.37,-0.99,14.5,4.3,5,0.66,-0.41,26.3,3.9,5,0.33,-1.1,SQ10,aw,-0.09763847,0.5,NA,NA
557,Limnodynastes_peronii,p144_o,NA,NA,Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,f,w,a,"Sydney, Australia",33.85,151.2,1,60,metabolic_enzyme,CS,"muscle, external oblique, females",15,25,6.8,1.1,5,0.36,-1.02,11.3,3.5,5,0.69,-0.37,6.8,1,5,0.33,-1.11,9.3,1.8,5,0.43,-0.84,SQ10,aw,0.587786665,0.5,NA,NA
558,Limnodynastes_peronii,p144_o,NA,NA,Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,f,w,a,"Sydney, Australia",33.85,151.2,1,60,metabolic_enzyme,HOAD,"muscle, external oblique, males",15,25,6.4,2.1,5,0.73,-0.31,12.6,3,5,0.53,-0.63,3.4,0.3,5,0.2,-1.62,5.3,1,5,0.42,-0.86,SQ10,aw,1.203972804,0.5,NA,NA
559,Limnodynastes_peronii,p144_o,NA,NA,Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,f,w,a,"Sydney, Australia",33.85,151.2,1,60,metabolic_enzyme,HOAD,"muscle, external oblique, females",15,25,2.1,0.2,5,0.21,-1.55,3.1,0.5,5,0.36,-1.02,2,0.3,5,0.34,-1.09,3.2,0.4,5,0.28,-1.27,SQ10,aw,0.287682073,0.5,NA,NA
560,Limnodynastes_peronii,p144_o,NA,NA,Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,f,w,a,"Sydney, Australia",33.85,151.2,1,60,metabolic_enzyme,LDH,"muscle, gastrocnemius",15,25,222,14.8,5,0.15,-1.9,327,14.1,5,0.1,-2.34,162,15.2,5,0.21,-1.56,237,15.4,5,0.15,-1.93,SQ10,aw,0.013072082,0.5,NA,NA
561,Limnodynastes_peronii,p144_o,NA,NA,Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,f,w,a,"Sydney, Australia",33.85,151.2,1,60,metabolic_enzyme,LDH,liver,15,25,35,3.5,5,0.22,-1.5,55,5.7,5,0.23,-1.46,36,3.6,5,0.22,-1.5,61,5.7,5,0.21,-1.57,SQ10,aw,0.459532329,0.5,NA,NA
562,Limnodynastes_peronii,p144_o,NA,NA,Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,f,w,a,"Sydney, Australia",33.85,151.2,1,60,metabolic_enzyme,LDH,"muscle, external oblique, males",15,25,134,13.3,5,0.22,-1.51,194,12.2,5,0.14,-1.96,107,13.8,5,0.29,-1.24,160,16.3,5,0.23,-1.48,SQ10,aw,0.166496516,0.5,NA,NA
563,Limnodynastes_peronii,p144_o,NA,NA,Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,f,w,a,"Sydney, Australia",33.85,151.2,1,60,rest_MR,MR,rest,15,25,17.41,0.89,5,0.11,-2.17,45.98,8.04,5,0.39,-0.94,17.86,1.34,5,0.17,-1.79,42.41,8.93,5,0.47,-0.75,SQ10,aw,1.896746781,0.5,NA,NA
566,Idotea_balthica,p146_o,NA,NA,Arthropoda,Malacaostraca,Isopoda,Idoteidae,Idotea,balthica,m,c,a,"Helgoland, Germany",54.15,7.9,1,14,rest_MR,MR,rest,5,15,9.38,6.25,8,1.89,0.63,29.7,7.82,8,0.74,-0.3,12.51,4.69,8,1.06,0.06,53.15,4.69,8,0.25,-1.39,SQ10,aw,0,0.285714286,NA,NA
